City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
cape town,75,ZA,Mon Apr  1 08:23:11 2019,67,-33.93,18.42,66.99,8.05
kodiak,1,US,Mon Apr  1 08:27:04 2019,50,39.95,-94.76,35.01,9.17
cabo san lucas,0,MX,Mon Apr  1 08:25:39 2019,50,22.89,-109.91,69.01,11.65
yar-sale,0,RU,Mon Apr  1 08:28:46 2019,92,66.83,70.83,27.3,12.66
arraial do cabo,36,BR,Mon Apr  1 08:28:47 2019,100,-22.97,-42.02,72.39,3.6
bluff,0,AU,Mon Apr  1 08:28:47 2019,41,-23.58,149.07,72.39,5.73
talnakh,88,RU,Mon Apr  1 08:28:47 2019,96,69.49,88.39,30.09,7.96
yellowknife,40,CA,Mon Apr  1 08:23:36 2019,74,62.45,-114.38,28.4,18.34
nikolskoye,40,RU,Mon Apr  1 08:26:58 2019,80,59.7,30.79,48,15.66
ribeira grande,40,PT,Mon Apr  1 08:00:00 2019,67,38.52,-28.7,57.2,9.17
kununurra,24,AU,Mon Apr  1 07:30:00 2019,19,-15.77,128.74,95,10.29
castro,90,CL,Mon Apr  1 08:00:00 2019,100,-42.48,-73.76,50,4.7
klyuchi,0,RU,Mon Apr  1 08:28:50 2019,57,52.25,79.17,50.43,3.71
kabare,40,RW,Mon Apr  1 07:00:00 2019,73,-1.65,29.38,75.2,6.93
natal,75,BR,Mon Apr  1 08:00:00 2019,94,-5.81,-35.21,75.2,5.82
mataura,92,NZ,Mon Apr  1 08:20:07 2019,90,-46.19,168.86,46.99,1.01
petropavlovsk-kamchatskiy,40,RU,Mon Apr  1 07:30:00 2019,86,53.05,158.65,30.2,6.71
namatanai,92,PG,Mon Apr  1 08:28:51 2019,100,-3.66,152.44,80.76,8.75
sirsilla,0,IN,Mon Apr  1 08:28:53 2019,25,18.39,78.81,103.08,3.38
georgetown,0,GY,Mon Apr  1 07:00:00 2019,94,6.8,-58.16,69.8,4.7
victoria,75,BN,Mon Apr  1 07:30:00 2019,55,5.28,115.24,87.8,10.29
hermanus,88,ZA,Mon Apr  1 08:16:01 2019,56,-34.42,19.24,63,5.01
nizhniy kuranakh,44,RU,Mon Apr  1 08:28:55 2019,60,58.84,125.49,27.66,2.71
pisco,0,PE,Mon Apr  1 07:00:00 2019,82,-13.71,-76.2,68,11.41
rikitea,80,PF,Mon Apr  1 08:28:55 2019,100,-23.12,-134.97,76.53,13
busselton,92,AU,Mon Apr  1 08:28:09 2019,36,-33.64,115.35,75.99,16.91
kapaa,1,US,Mon Apr  1 08:23:27 2019,68,22.08,-159.32,69.8,8.05
dunedin,0,NZ,Mon Apr  1 08:24:13 2019,61,-45.87,170.5,53.01,14
vaini,40,IN,Mon Apr  1 07:00:00 2019,26,15.34,74.49,95,6.93
santa isabel,92,CO,Mon Apr  1 08:28:57 2019,100,4.71,-75.1,62.4,0.13
san patricio,80,PY,Mon Apr  1 08:28:58 2019,91,-26.98,-56.83,73.65,2.15
east london,40,ZA,Mon Apr  1 08:00:00 2019,56,-33.02,27.91,68,27.51
lebu,75,ET,Mon Apr  1 08:00:00 2019,43,8.96,38.73,69.8,6.93
portland,75,US,Mon Apr  1 08:28:16 2019,66,45.52,-122.67,54,9.17
codrington,0,AU,Mon Apr  1 08:26:02 2019,56,-28.95,153.24,73.4,10.29
werl,0,DE,Mon Apr  1 08:28:15 2019,65,51.55,7.92,50,8.05
hobart,75,AU,Mon Apr  1 08:28:15 2019,54,-42.88,147.33,59,6.93
asyut,0,EG,Mon Apr  1 08:00:00 2019,41,27.18,31.19,59,8.05
jamestown,0,AU,Mon Apr  1 08:28:20 2019,56,-33.21,138.6,62.13,5.06
bardsir,90,IR,Mon Apr  1 08:00:00 2019,20,29.93,56.57,73.4,6.93
airai,88,TL,Mon Apr  1 08:29:01 2019,91,-8.93,125.41,71.85,0.81
saint-philippe,90,CA,Mon Apr  1 08:28:57 2019,86,45.36,-73.48,27,5.82
lagoa,40,PT,Mon Apr  1 08:27:23 2019,77,37.14,-8.45,60.8,3.36
ushuaia,90,AR,Mon Apr  1 07:00:00 2019,100,-54.81,-68.31,44.6,17.22
ukiah,20,US,Mon Apr  1 08:25:33 2019,50,39.15,-123.21,55.4,6.93
saint-pierre,0,FR,Mon Apr  1 08:27:05 2019,58,48.95,4.24,53.6,16.11
port alfred,0,ZA,Mon Apr  1 08:29:04 2019,76,-33.59,26.89,65.91,25.41
buchanan,75,LR,Mon Apr  1 08:00:00 2019,94,5.88,-10.05,78.8,2.26
oriximina,76,BR,Mon Apr  1 08:29:05 2019,98,-1.77,-55.87,74.73,2.37
puerto del rosario,20,ES,Mon Apr  1 08:00:00 2019,77,28.5,-13.86,64.4,3.36
bakchar,0,RU,Mon Apr  1 08:29:05 2019,72,57.02,82.07,38.28,9.75
faanui,8,PF,Mon Apr  1 08:29:05 2019,99,-16.48,-151.75,84.99,3.15
lompoc,1,US,Mon Apr  1 08:28:00 2019,87,34.64,-120.46,62.01,5.84
mwanza,75,TZ,Mon Apr  1 07:00:00 2019,73,-2.52,32.9,75.2,16.11
saint george,0,GR,Mon Apr  1 08:23:21 2019,58,39.45,22.34,59,3.27
